visit_id	revisit_interval	revisit_intention
v685	2.16	1
v686	13.0	1
v687	87.69	1
v688	128.96	1
v908	9.96	1
v909	0.99	1
v910	21.16	1
v911	13.12	1
v912	25.68	1
v913	214.98	1
v1069	4.95	1
v1070		0
v1071	20.94	1
v1072	213.1	1
v1582	99.9	1
v1583	79.86	1
v1960	41.85	1
v1961	14.92	1
v2069	7.88	1
v2070	227.97	1
v2238	59.32	1
v2239	16.86	1
v2240	12.01	1
v2241	50.04	1
v2495	71.9	1
v2496	121.89	1
v2592	85.74	1
v2593		0
v2631	7.72	1
v2632	29.97	1
v2633		0
v2798	105.94	1
v2827	100.98	1
v2959	301.96	1
v3022	11.07	1
v3023	7.22	1
v3024	0.97	1
v3025		0
v4032	29.16	1
v4033	6.98	1
v4034	50.69	1
v4035		0
v4083	14.01	1
v4084	7.8	1
v4085	11.2	1
v4086	61.03	1
v4087	27.85	1
v4088		0
v4645	72.17	1
v4646		0
v4721	10.19	1
v4722	206.74	1
v5113	6.03	1
v5114	22.78	1
v5115		0
v5151	166.11	1
v5470	24.82	1
v5471		0
v5656	13.99	1
v5657		0
v5857	189.96	1
v5951	108.17	1
v5952	169.99	1
v6248	267.94	1
v6333	255.95	1
v6558	92.79	1
v6559		0
v6934	43.86	1
v6935	50.26	1
v6936	21.97	1
v6937		0
v7068	1.99	1
v7069	59.89	1
v7070		0
v7673	33.96	1
v7674		0
v7767	5.88	1
v7768	75.75	1
v8118	30.01	1
v8119	146.92	1
v8182	77.2	1
v8183		0
v8220	230.24	1
v8345	116.21	1
v8346	23.05	1
v8602		0
v8876	29.15	1
v8877	123.63	1
v8948	42.0	1
v8949	82.83	1
v8950	5.28	1
v8951	145.88	1
v9363	142.05	1
v9436	122.94	1
v9456		0
v9477	46.97	1
v9478	44.92	1
v9479		0
v9768	9.19	1
v9769	172.78	1
v9904	4.67	1
v9905		0
v10046		0
v10117		0
v10267	46.16	1
v10268	197.96	1
v10440	27.13	1
v10441		0
v10669	78.93	1
v10670	59.14	1
v10680	93.77	1
v10759	163.89	1
v10867	12.15	1
v10868		0
v10917	1.24	1
v10918	4.74	1
v10919		0
v10922	112.89	1
v10934	126.21	1
v10962	123.18	1
v10963		0
v11183	166.89	1
v11293	26.99	1
v11294		0
v11354		0
v11430	113.96	1
v11431		0
v11476	177.74	1
v11563	47.99	1
v11564		0
v11612	1.07	1
v11613	10.15	1
v11662	205.06	1
v12073	171.05	1
v12191	174.88	1
v12213		0
v12250	64.06	1
v12251		0
v12532	8.92	1
v12533		0
v12582		0
v12588	65.22	1
v12589	239.76	1
v12716		0
v12724	16.01	1
v12725		0
v12809	87.03	1
v12810	195.76	1
v13017	73.09	1
v13018		0
v13081	18.05	1
v13082	177.19	1
v13310		0
v13311	25.03	1
v13312		0
v13496	61.12	1
v13497		0
v13672	71.24	1
v13673		0
v13676	9.86	1
v13677		0
v13800		0
v14002	2.64	1
v14003	4.38	1
v14004	0.94	1
v14005		0
v14023	295.06	1
v14275	194.25	1
v14409		0
v14561	206.01	1
v14767	91.05	1
v14768	46.15	1
v14769		0
v14807	31.81	1
v14808		0
v15173	31.87	1
v15174	198.02	1
v15487		0
v15495	162.77	1
v15532		0
v15540	173.0	1
v15709	77.76	1
v15710	25.06	1
v15711		0
v15749		0
v16116		0
v16186		0
v16367	202.04	1
v16461	35.08	1
v16462		0
v16499		0
v16555	40.93	1
v16556		0
v16579		0
v16612	42.92	1
v16613	92.11	1
v16614		0
v16633	13.93	1
v16634	220.96	1
v16724	115.09	1
v16725		0
v16785	209.07	1
v16822	0.99	1
v16823	0.66	1
v16824		0
v16907		0
v17028		0
v17081	189.08	1
v17133		0
v17390	184.97	1
v17584	319.06	1
v17783		0
v17805		0
v17957		0
v18085		0
v18333		0
v18370	69.08	1
v18371	91.99	1
v18372		0
v18379		0
v18397		0
v18482		0
v18518	156.78	1
v18521		0
v18754		0
v18998	5.15	1
v18999		0
v19077		0
v19271		0
v19287		0
v19356		0
v19531		0
v19537	29.99	1
v19538		0
v19578		0
v19651		0
v19749	6.94	1
v19750		0
v19890		0
v19910	9.03	1
v19911		0
v20107		0
v20319	13.97	1
v20320		0
v20362	18.84	1
v20363		0
v20528	203.85	1
v20620		0
v20753	178.89	1
v20767	207.81	1
v20877		0
v21169	48.06	1
v21170	1.9	1
v21171	34.98	1
v21172	141.0	1
v21616		0
v21636		0
v21833		0
v22015		0
v22082		0
v22182	28.12	1
v22183	22.14	1
v22445		0
v22519		0
v22851	208.26	1
v22861	18.72	1
