visit_id	revisit_interval	revisit_intention
v115	96.76	1
v116	21.0	1
v117	7.88	1
v118	20.86	1
v119	12.98	1
v120	4.89	1
v121	12.85	1
v1379	16.98	1
v1380	86.02	1
v1381	43.95	1
v1814	67.79	1
v1815	17.04	1
v1816	71.1	1
v1817	5.87	1
v1818	53.15	1
v2031	7.16	1
v2032	12.74	1
v2033	15.93	1
v2034		0
v2035	4.98	1
v2036	22.98	1
v2081	106.93	1
v2082	51.07	1
v2083	52.8	1
v2088	13.78	1
v2089	73.95	1
v2090	67.86	1
v2415	7.02	1
v2416	108.07	1
v2417		0
v2629	16.96	1
v2630	31.06	1
v2631	38.95	1
v2632	1.1	1
v2633		0
v2939	48.87	1
v2940	21.02	1
v2941	224.16	1
v3340	21.13	1
v3341	11.05	1
v3342		0
v3597	4.16	1
v3598	54.79	1
v3599	110.15	1
v3600	2.93	1
v4408	190.03	1
v4924	92.27	1
v4925	49.83	1
v5046	153.77	1
v5245	68.97	1
v5246		0
v5483	158.95	1
v5484	4.99	1
v5485		0
v5840	175.43	1
v5872	303.97	1
v5982	63.0	1
v5983		0
v6337	141.05	1
v7066	32.9	1
v7067	14.22	1
v7068		0
v7269	17.94	1
v7270	193.93	1
v7531	207.15	1
v7762	50.02	1
v7763	299.9	1
v7931	228.17	1
v8054	12.88	1
v8055	47.04	1
v8056		0
v8078	45.83	1
v8079	35.16	1
v8080	20.05	1
v8081	47.1	1
v8369	156.84	1
v8403	5.32	1
v8404		0
v8415	56.11	1
v8416		0
v8584		0
v8625	51.11	1
v8626	82.09	1
v8627	190.75	1
v8898	138.77	1
v8944	157.23	1
v9305	356.12	1
v9328		0
v9569	15.0	1
v9570		0
v9647	293.07	1
v9826	68.88	1
v9827	105.05	1
v9828		0
v10033	6.95	1
v10034		0
v10364	140.04	1
v10448	176.75	1
v10470	41.08	1
v10471		0
v10667	64.94	1
v10668	168.14	1
v10757	1.26	1
v10758	5.98	1
v10759		0
v10870	58.96	1
v10964	41.0	1
v10965		0
v11004	72.94	1
v11005	179.06	1
v11236	112.06	1
v11322	100.15	1
v11385	144.74	1
v11391	17.13	1
v11392		0
v11534		0
v11708	49.68	1
v11709		0
v12027	278.12	1
v12170	10.06	1
v12171		0
v12185	51.18	1
v12186	106.96	1
v12193		0
v12376	86.15	1
v12437		0
v12692		0
v12707	257.11	1
v12828	111.13	1
v12875	133.92	1
v13098	112.93	1
v13614	135.2	1
v13887	20.22	1
v13888	174.81	1
v13926	6.93	1
v13927	167.97	1
v13928	235.81	1
v13985		0
v14143	255.79	1
v14378	143.01	1
v14379	12.96	1
v14380	27.95	1
v14408	213.89	1
v14523		0
v14540	254.21	1
v14812		0
v14910		0
v15061		0
v15349		0
v15408		0
v15542		0
v15680		0
v15865	55.14	1
v15930	218.17	1
v16039	144.75	1
v16118	48.79	1
v16119		0
v16212	138.24	1
v16213		0
v16476	3.93	1
v16477		0
v16671	44.07	1
v16672		0
v16840		0
v16995	0.94	1
v16996	23.02	1
v16997		0
v17024		0
v17085		0
v17322	1.76	1
v17323		0
v17478		0
v17586	25.89	1
v17587		0
v17631	80.19	1
v17632		0
v17953		0
v17961		0
v17969	64.95	1
v17970		0
v18153		0
v18324		0
v18341	32.96	1
v18342		0
v18512		0
v18618		0
v18622	38.1	1
v18658		0
v18776		0
v18924		0
v18957		0
v19294	182.63	1
v19320	38.54	1
v19321	16.07	1
v19322		0
v19334		0
v19486		0
v19528	6.19	1
v19529		0
v19801		0
v19836		0
v19873	5.03	1
v19874		0
v19913	111.17	1
v19955		0
v20000		0
v20131	119.06	1
v20194	140.95	1
v20403		0
v20477		0
v20677	8.15	1
v20678		0
v20687	149.91	1
v20688	32.92	1
v20998		0
v20999	176.08	1
v21091		0
v21445		0
v21699		0
v21892		0
v21945		0
v22016		0
v22098		0
v22186		0
v22650		0
v22761	19.79	1
v22762		0
v22903	212.23	1
v23001		0
v23017		0
v23098		0
v23195	6.04	1
v23196		0
v23219		0
v23419		0
v23479		0
v23531		0
v23540		0
v23579		0
v23611		0
v23707		0
v23824		0
v23844		0
v23872		0
