visit_id	wifi_id	date	indices
v685	452	17189	102765;102766;102767;102768;102769;102771;102773;102774;102777;102782;102783;102784;102785
v686	452	17191	110995;110996;110997;110998;110999;111021;111022;111023;111026;111027;111030;111033;111042;111044;111049
v687	452	17204	173176;173177;173181;173185;173196;173198;173199;173212;173247;173248;173258;173274;173277;173278;173287
v688	452	17292	436390;436391;436403;436410;436418;436422;436453;436456
v908	604	17175	44020;44027;44044;44045;44086
v909	604	17185	82039;82040;82052;82053;82070;82098
v910	604	17186	86292;86293;86294;86296;86297;86298;86299;86301;86302;86304;86305;86306
v911	604	17207	184656;184657;184658;184660;184667;184669
v912	604	17220	238659;238660;238661;238663;238668;238669;238671;238674;238675;238676;238677;238680;238687
v913	604	17246	339267;339268;339269;339270;339272;339273;339274;339280;339281;339282;339290;339291;339296;339298;339299;339302
v1069	719	17235	298531;298532;298534;298535;298537;298546;298548;298552;298557;298559;298560;298561;298562
v1070	719	17240	318674;318675;318679;318680;318681;318690;318697;318700;318799;318802;318803;318805;318807;318808;318833;318834;318835;318836;318850;318980;319012;319543;319544;319545;319546;319547;319548;319559;319560;319561;319562;319563;319565;319568;319570;319571;319572;319576;320032;320033;320034;320035;320036;320037;320041;320042;320051;320052;320053;320054;320055
v1071	720	17194	119998
v1072	720	17215	217482;217483;217491;217497;217499
v1582	1122	17168	15444;15445;15446;15447;15450;15466;15483;15501;15502;15514;15515;15516;15517;15518;15537;15538;15539;15544;15575;15576;15579
v1583	1122	17268	391652;391653;391656;391657;391659;391660;391661
v1960	1478	17294	439602;439603;439604;439605
v1961	1478	17336	515366;515367;515368;515375;515376;515377
v2069	1571	17182	70122;70123;70124;70125;70126;70127;70141;70144;70155;70156;70157;70158;70161
v2070	1571	17190	105331;105332;105336;105340;105345;105347;105352;105354;105355;105360;105361;105379
v2238	1712	17247	341835;341841
v2239	1712	17306	458172;458173;458174;458176;458186
v2240	1712	17323	491638;491639;491644;491645;491648;491649;491650;491651;491658;491667;491676;491708
v2241	1712	17335	514220;514221;514222;514223;514236;514245;514254
v2495	1939	17198	140036;140037;140038;140039;140045;140046;140061;140069;140072;140074;140076;140080;140395;140457;140461;140464;140485;140487
v2496	1939	17270	394126;394127;394129;394134;394150;394151;394152;394161;394162;394164;394288;394385;394386;394388;394389;394391
