visit_id	wifi_id	date	indices
v115	135	17174	42065;42066;42081;42087;42112;42139
v116	135	17271	397687;397688;397706;397711;397786;397966;398259;398382;398482;398489;398612;398614;398625;398626
v117	135	17292	439218;439219;439227;439311;439391;439469;439821;439898;439954;439955;439957
v118	135	17300	450465;450495;450496;450497;451056
v119	135	17321	490298;490310;490349;490446;490557;490752;490870
v120	135	17334	513456;513459;513463;513532
v121	135	17339	522830;522831;522846;522940;523040;523204;523275;523365;523523;523528;523529;523538
v1379	956	17211	201681;201682;201683;201685
v1380	956	17228	272027;272028
v1381	956	17314	475512;475513;475516;475528
v1814	1265	17168	15217;15218;15219;15229;15240;15241;15242;15249;15250;15252;15271;15283
v1815	1265	17236	303856;303857;303862;303863;303879;303883;303924;303927;303934;303943
v1816	1265	17253	364139;364141;364142;364152;364153;364160;364161;364169
v1817	1265	17324	495714;495715;495716;495719;495737;495771;495773
v1818	1265	17330	506444;506445;506446;506447;506448;506452;506521;506522
v2031	1439	17195	124799;124800;124801;124802;124806;124811;124812;124823;124839;124844;124879;124892;124897;124898;124926;124931;124934;124940;124957;125096;125157;125168;125185;125195;125306;125316;125325
v2032	1439	17202	164787;164788;164794;164795;164796;164828
v2033	1439	17215	217965;217966;217967;217968;217970;217971
v2034	1439	17231	283702;283703;283704;283705;283732;283755;283764;283821;283835;283843;283855;283880;283881;283883;283918
v2035	1440	17326	497716;497717;497718;497719;497720;497721;497724;497739;497760
v2036	1440	17331	507586;507587;507588;507589;507590
v2081	1482	17167	5980;5981;5982;5983;5984;6009;6017;6027;6060;6064;6065;6069;6082;6257;6411
v2082	1482	17274	405969;405970;405971;405972;405973
v2083	1482	17325	497076;497077;497078;497082;497083;497085;497087;497088;497091;497186;497200;497204;497216;497220
v2088	1488	17198	144218;144219;144221
v2089	1488	17212	205090
v2090	1488	17286	425644;425645;425646;425648;425650;425652;425702;425703;425704;425708;425711;425712;425845;425858;425859;425860
v2415	1758	17196	128812;128813;128815;128817;128846;128851;128863;128922;128923;128925;128932;128943;129066;129067;129073;129104;129107;129179;129213;129262;129490;129546;129756;129766;129771;129803;129809;130105;130106;130114;130121
v2416	1758	17203	168419;168420;168422;168423;168426;168427;168431;168448;168449;168454;168472;168473;168474;168480;168486
v2417	1758	17311	468146;468147;468148;468149
v2629	1949	17169	17452;17454;17455;17456;17461;18195;18201;18202
v2630	1949	17186	87072;87073;87074;87077;87078;87090;87105;87133;87136
v2631	1949	17217	226846;226847;226849;226851;226853;226858;226862
v2632	1949	17256	372580;372581;372583;372584;372585;372590;372596;372599;372604;372614;372624;372629;372648;372653
