index	wifi_id	ts	area	dwell_time
94	45809	1483239094	out	35
929	4108	1483242690	out	529
1319	45809	1483243908	out	1203
1366	45809	1483244037	in	1058
1367	45809	1483244037	1f	1058
1376	45809	1483244046	1f-d	575
1388	45809	1483244067	cafe	613
1389	45809	1483244067	b1	989
1397	45809	1483244093	2f	555
1411	45809	1483244135	2f-a	109
1420	45809	1483244164	2f-c	55
1495	45809	1483244382	1f-c	246
1513	4108	1483244433	out	46
1591	45809	1483244671	b1_only	372
1592	45809	1483244674	b1-a	8
1598	45809	1483244690	b1-b	239
1604	45809	1483244728	b1-c	33
3767	26007	1483252533	out	33
4582	10152	1483255028	out	1450
4604	10152	1483255101	2f	825
4605	10152	1483255101	in	899
4606	10152	1483255101	2f-b	575
4613	10152	1483255121	b1	874
4624	10152	1483255157	1f	842
4639	10152	1483255203	1f-c	112
4640	10152	1483255205	1f-d	794
4687	10152	1483255348	1f-e	641
4752	10152	1483255511	2f-a	25
4764	10152	1483255554	2f-c	94
4780	10152	1483255613	2f-e	181
4814	10152	1483255684	2f-d	209
5120	26007	1483256505	out	28
5810	13713	1483259050	out	9772
5920	1482	1483259434	out	1919
5980	1482	1483259603	in	1102
5981	1482	1483259603	1f-c	79
5982	1482	1483259603	1f	1102
5983	1482	1483259604	1f-d	6
5984	1482	1483259614	1f-e	42
5994	13713	1483259649	in	9161
5995	13713	1483259649	1f-d	264
5996	13713	1483259649	1f	436
5998	13713	1483259651	1f-c	252
6009	1482	1483259671	b1	976
6017	1482	1483259705	2f	93
6027	1482	1483259724	2f-e	29
6060	1482	1483259829	cafe	694
6064	1482	1483259835	b1-a	672
6065	1482	1483259835	b1_only	680
6069	1482	1483259845	b1-b	634
6082	1482	1483259873	b1-c	597
6085	13713	1483259894	1f-e	115
6178	13713	1483260151	2f	252
6218	13713	1483260225	2f-d	102
6219	13713	1483260232	2f-c	138
6257	1482	1483260332	1f-d	360
6307	13713	1483260437	b1	8250
6310	13713	1483260441	cafe	8245
6330	13713	1483260468	b1_only	915
6355	13713	1483260536	b1-a	845
6359	13713	1483260553	b1-b	820
6377	13713	1483260603	b1-c	27
6411	1482	1483260676	1f-e	4
7429	1482	1483265541	out	235
7583	13713	1483266600	b1-a	436
7584	13713	1483266600	b1_only	436
7741	13713	1483268366	b1-a	112
7742	13713	1483268366	b1_only	320
7744	13713	1483268379	b1-b	75
7779	13713	1483268771	1f	38
8190	13713	1483273979	out	961
8191	13713	1483273979	in	816
8192	13713	1483273979	1f	814
8206	13713	1483274096	b1	601
8214	13713	1483274120	b1_only	377
8222	13713	1483274207	b1-a	3
8228	13713	1483274239	cafe	458
8365	50144	1483320138	out	1949
8389	50144	1483320631	in	1433
8393	50144	1483320647	1f-d	55
8394	50144	1483320647	1f	1417
8404	50144	1483320720	1f-e	609
8421	50144	1483320820	2f	245
8427	50144	1483320860	2f-c	125
8445	50144	1483321045	2f-d	4
8505	50144	1483321377	b1	639
8507	50144	1483321380	cafe	552
8508	50144	1483321380	b1_only	621
8521	50144	1483321465	b1-b	71
8878	11402	1483324866	out	303
8887	11402	1483324924	in	187
8888	11402	1483324924	1f	187
8889	11402	1483324925	1f-d	183
8893	11402	1483324943	1f-c	165
8907	11402	1483325043	1f-e	59
9754	11402	1483329695	out	44
9889	58085	1483330558	out	56
9987	50144	1483330987	out	21
10040	92787	1483331172	out	2610
10052	92787	1483331239	1f	1458
10053	92787	1483331239	in	2510
10054	92787	1483331239	1f-d	379
10102	92787	1483331457	1f-c	5
10214	92787	1483331804	1f-f	893
10369	7508	1483332432	out	4868
10470	92787	1483332796	b1	953
10493	92787	1483332848	b1-b	604
10494	92787	1483332848	b1_only	889
10575	92787	1483333430	b1-a	307
10623	7508	1483333613	in	3668
10624	7508	1483333613	1f	331
10640	7508	1483333678	1f-d	145
10642	7508	1483333683	1f-c	144
10652	7508	1483333735	1f-e	148
10695	7508	1483333916	b1	3330
10700	88120	1483333935	out	19
10727	7508	1483334004	cafe	3171
10736	7508	1483334012	b1_only	773
10737	7508	1483334012	b1-a	408
10878	34120	1483334620	out	1152
10881	34120	1483334635	in	1088
10882	34120	1483334635	1f	120
10884	34120	1483334643	1f-d	25
10887	34120	1483334679	1f-f	51
10890	34120	1483334699	b1	889
10899	34120	1483334775	2f	103
10900	34120	1483334788	2f-e	79
10905	34120	1483334798	2f-c	21
10935	34120	1483334917	cafe	652
10936	34120	1483334921	b1_only	647
10939	34120	1483334925	b1-a	643
10965	34120	1483335024	b1-b	501
10968	34120	1483335032	b1-c	252
10998	58085	1483335140	out	634
11006	58085	1483335153	in	590
11010	58085	1483335153	1f	590
11012	58085	1483335157	2f	401
11013	58085	1483335158	1f-d	548
11017	58085	1483335180	1f-e	429
11040	58085	1483335289	b1	273
11056	58085	1483335371	2f-c	47
11070	7508	1483335480	1f	92
11074	7508	1483335528	b1_only	1640
11090	34120	1483335621	1f	102
11105	34120	1483335678	1f-c	33
11106	34120	1483335678	1f-d	29
11113	58085	1483335718	1f-c	19
11225	18379	1483336098	out	2088
11253	18379	1483336171	in	2015
11269	18379	1483336219	1f	208
11272	18379	1483336222	1f-f	129
11275	18379	1483336226	1f-e	117
11315	31969	1483336314	out	40
11346	18379	1483336395	2f	21
11370	18379	1483336459	b1	755
11374	18379	1483336465	cafe	748
11378	18379	1483336468	b1_only	745
11379	18379	1483336468	b1-a	742
11393	18379	1483336505	b1-b	662
11401	18379	1483336520	b1-c	100
11634	18379	1483337247	2f	621
11636	7508	1483337262	1f	19
11639	18379	1483337271	2f-e	445
11640	18379	1483337271	2f-d	483
11643	18379	1483337272	2f-c	88
11669	88120	1483337336	out	1253
11735	88120	1483337560	in	420
11736	88120	1483337560	1f-e	409
11737	88120	1483337560	1f	420
11752	88120	1483337621	2f	70
11762	88120	1483337657	2f-c	5
11784	88120	1483337724	b1	161
11786	88120	1483337727	b1_only	130
11790	88120	1483337733	b1-a	101
11806	18379	1483337850	1f	336
11808	18379	1483337864	1f-e	310
11853	18379	1483338016	1f-f	133
12064	11402	1483338849	out	622
12105	14035	1483339064	out	44
12157	31969	1483339235	out	1479
12158	31969	1483339235	in	1478
12159	31969	1483339235	1f-d	81
12160	31969	1483339235	1f	506
12162	31969	1483339257	1f-e	311
12166	31969	1483339283	1f-f	294
12180	31969	1483339363	2f	214
12237	31969	1483339627	b1	605
12305	31969	1483339839	b1_only	393
12308	58085	1483339840	out	159
12344	31969	1483339937	b1-b	294
12451	31969	1483340398	2f-c	68
12452	31969	1483340398	2f	184
12453	31969	1483340398	2f-a	47
12455	31969	1483340403	2f-e	179
12532	31969	1483340603	1f	110
12552	31969	1483340634	1f-e	26
13527	11402	1483344312	out	619
13777	18379	1483345257	out	379
13784	18379	1483345279	1f	357
13785	18379	1483345279	in	358
13786	18379	1483345279	1f-d	357
13877	18379	1483345452	1f-c	184
13982	11402	1483345912	out	78
14403	48309	1483347564	out	32
14651	31969	1483348740	out	14
14899	86762	1483351053	out	2000
14901	86762	1483351071	in	775
14902	86762	1483351071	1f	717
14907	86762	1483351099	1f-e	688
14913	86762	1483351130	1f-f	652
14933	86762	1483351267	cafe	389
14934	86762	1483351267	b1	428
14935	86762	1483351273	b1_only	396
14938	86762	1483351289	b1-a	336
14943	86762	1483351318	b1-b	348
15207	1265	1483354023	out	403
15217	1265	1483354086	in	319
15218	1265	1483354089	1f	316
15219	1265	1483354090	1f-d	315
15229	1265	1483354155	1f-f	234
15240	1265	1483354174	b1	49
15241	1265	1483354176	2f	125
15242	1265	1483354177	cafe	41
15249	1265	1483354189	b1_only	25
15250	1265	1483354190	b1-a	20
15252	1265	1483354196	b1-b	12
15271	1265	1483354268	2f-c	16
15283	1265	1483354311	1f-e	81
15468	85769	1483356159	out	477
15563	48309	1483357169	out	43
15952	94061	1483408449	out	1805
15964	94061	1483408484	in	1491
15965	94061	1483408484	1f	346
15969	94061	1483408500	1f-c	23
15976	94061	1483408634	1f-f	15
16011	94061	1483409047	b1	927
16012	94061	1483409047	b1_only	917
16019	94061	1483409078	b1-b	47
16025	71569	1483409162	out	677
16044	71569	1483409279	in	542
16045	71569	1483409279	1f-d	528
16046	71569	1483409279	1f	542
16050	71569	1483409287	1f-c	500
16053	71569	1483409299	1f-e	214
16057	71569	1483409355	2f	400
16059	71569	1483409357	1f-f	107
16080	71569	1483409552	2f-a	132
16082	71569	1483409569	2f-e	186
16084	71569	1483409580	2f-d	156
16090	71569	1483409640	2f-b	46
16112	94061	1483409921	b1-a	43
16113	94061	1483409926	cafe	38
17188	74599	1483417849	out	1117
17191	74599	1483417869	1f	1043
17192	74599	1483417869	in	1043
17193	74599	1483417869	1f-d	186
17203	74599	1483417928	1f-c	132
17243	74599	1483418196	2f	603
17246	74599	1483418207	2f-a	574
17261	74599	1483418321	2f-c	3
17262	74599	1483418321	2f-b	3
17266	74599	1483418348	2f-d	274
17286	74599	1483418583	2f-e	203
17428	1949	1483419599	out	284
17452	1949	1483419646	in	211
17454	1949	1483419653	1f	204
17455	1949	1483419653	1f-c	201
17456	1949	1483419655	1f-d	202
17461	1949	1483419745	1f-f	70
17759	80270	1483421552	1f-c	76
17760	80270	1483421552	1f	595
17761	80270	1483421552	1f-d	16
17762	80270	1483421552	out	1168
17763	80270	1483421552	in	1121
17858	80270	1483421873	2f	69
17921	80270	1483422141	1f-e	6
17922	80270	1483422142	b1	491
17933	80270	1483422191	b1_only	383
17934	80270	1483422191	b1-a	383
17946	80270	1483422213	b1-b	347
18084	9937	1483422937	out	1538
18190	1949	1483423413	out	93
18195	1949	1483423441	in	53
18201	1949	1483423467	1f	26
18202	1949	1483423469	1f-d	24
18214	9937	1483423569	in	621
18215	9937	1483423569	1f-c	621
18216	9937	1483423569	1f	621
18217	9937	1483423574	1f-d	613
18220	9937	1483423586	1f-e	587
18224	9937	1483423642	b1	533
18225	9937	1483423643	1f-f	88
18235	9937	1483423706	2f	72
18245	9937	1483423811	cafe	362
18246	9937	1483423813	b1_only	309
18247	9937	1483423820	b1-b	234
18248	9937	1483423821	b1-a	283
18253	9937	1483423862	b1-c	161
18663	9937	1483426008	out	110
21104	27964	1483447312	out	801
21110	27964	1483447352	in	657
21121	27964	1483447424	1f	508
21739	9410	1483503262	out	1281
21746	9410	1483503313	1f	908
21747	9410	1483503313	in	1231
21752	9410	1483503327	1f-c	154
21753	9410	1483503328	1f-d	148
21762	9410	1483503355	b1	140
21783	9410	1483503497	1f-e	207
21785	9410	1483503501	2f	773
21845	9410	1483503866	2f-e	404
21852	9410	1483503887	2f-c	266
21854	9410	1483503896	2f-a	355
21880	9410	1483504058	2f-d	75
21898	9410	1483504298	b1	245
21899	9410	1483504307	cafe	233
21901	9410	1483504313	b1-a	198
21902	9410	1483504313	b1_only	217
21910	9410	1483504413	b1-b	48
21912	9410	1483504425	b1-c	7
22134	97576	1483506738	out	1023
22156	97576	1483506831	in	907
22157	97576	1483506838	1f	901
22160	97576	1483506852	1f-d	887
22162	97576	1483506865	1f-c	102
22183	97576	1483507062	b1	564
22187	97576	1483507069	cafe	525
22188	97576	1483507069	b1_only	547
22190	97576	1483507075	b1-a	537
22194	97576	1483507087	b1-b	120
22219	87902	1483507249	out	10
22684	35718	1483510582	out	66
23094	35718	1483513175	out	95
23503	87902	1483516507	out	22
23839	17161	1483519600	out	406
24369	17161	1483526895	out	980
24371	17161	1483526905	in	757
24372	17161	1483526919	1f	738
24373	17161	1483526920	1f-d	9
24380	17161	1483526947	1f-c	709
24384	17161	1483526987	b1	395
24385	17161	1483527002	1f-e	17
24392	17161	1483527109	b1_only	251
24400	17161	1483527172	b1-b	175
24472	27964	1483528514	out	3
24675	27964	1483530728	out	836
25502	40431	1483590619	out	48
26396	34254	1483598089	out	4774
26410	34254	1483598378	in	4481
26411	34254	1483598378	b1	4460
26420	34254	1483598485	1f	853
26422	27089	1483598508	out	67
26432	34254	1483598559	1f-d	325
26434	34254	1483598565	1f-c	173
26454	34254	1483598757	1f-e	194
26463	34254	1483598774	1f-f	208
26494	34254	1483598984	cafe	3838
26532	34254	1483599351	2f	116
26542	34254	1483599464	2f-e	3
26549	34254	1483599529	b1_only	1284
26551	34254	1483599530	b1-b	416
26553	34254	1483599537	b1-a	87
26570	34254	1483599690	b1-c	299
26619	27089	1483600250	out	74
26956	34254	1483602227	b1_only	591
27057	34254	1483602838	1f	20
27232	88146	1483603728	out	14
28585	10443	1483620478	out	439
28586	10443	1483620500	1f	398
28587	10443	1483620500	in	398
28588	10443	1483620500	1f-c	389
28589	10443	1483620502	1f-d	392
28590	10443	1483620510	1f-e	387
28591	10443	1483620511	b1	353
28595	10443	1483620518	1f-f	10
28596	10443	1483620528	2f	207
28599	10443	1483620583	cafe	258
28600	10443	1483620585	b1_only	272
28601	10443	1483620587	b1-a	256
28602	10443	1483620600	b1-b	228
28614	10443	1483620778	b1-c	15
28631	10443	1483622253	out	36
28637	16788	1483623472	out	242
28791	50535	1483668366	out	3277
28793	50535	1483668402	1f	93
28794	50535	1483668402	in	3178
28804	50535	1483668481	1f-f	13
28822	50535	1483668731	b1	437
28823	50535	1483668731	b1_only	363
28844	50535	1483668964	b1-b	131
28865	50535	1483669233	1f	591
28871	50535	1483669305	1f-f	519
28873	50535	1483669338	1f-c	137
28933	50535	1483670067	b1	1398
28935	50535	1483670137	cafe	1317
28936	50535	1483670157	b1_only	1290
29101	50535	1483671545	1f	35
32207	66533	1483696555	out	49
34652	956	1483766258	out	6
34833	19528	1483767727	out	1434
35185	58088	1483769494	out	145
35271	13673	1483770006	out	595
35281	13673	1483770061	in	481
35282	13673	1483770061	1f-d	481
35283	13673	1483770061	1f	481
35292	13673	1483770087	1f-e	446
35293	13673	1483770088	1f-f	438
35295	26007	1483770103	out	47
35336	13673	1483770280	1f-c	121
35347	13673	1483770293	b1	195
35356	13673	1483770332	b1_only	156
35582	57697	1483771755	out	1182
35584	57697	1483771771	in	1151
35585	57697	1483771771	1f	1151
35586	57697	1483771774	1f-d	1141
35588	57697	1483771785	1f-e	766
35606	57697	1483771865	b1	317
35607	57697	1483771866	b1_only	298
