visit_id	revisit_interval	revisit_intention
v5080	9.33	1
v5081	2.67	1
v5082	4.35	1
v5083	123.05	1
v5132	99.57	1
v5133	3.0	1
v5134	29.09	1
v5425	25.62	1
v5426	3.98	1
v5427	24.46	1
v5428	14.95	1
v5429	23.92	1
v5430	84.86	1
v6060	8.05	1
v6061	21.75	1
v6062	2.74	1
v6063	11.41	1
v6064	9.8	1
v6065	27.88	1
v7109	16.1	1
v7110	7.54	1
v7111	25.11	1
v7112	6.87	1
v7113	10.25	1
v7114	44.2	1
v7115	74.88	1
v7191	1.01	1
v7192	13.23	1
v7193	164.92	1
v7761	34.78	1
v7762	30.11	1
v7763	38.08	1
v7764	3.12	1
v7765	14.05	1
v7766	35.97	1
v8110	64.38	1
v8111	18.89	1
v10846	4.01	1
v10847	24.65	1
v10848	1.21	1
v10849	1.09	1
v10850	7.68	1
v10851	68.07	1
v11526	10.87	1
v11527	21.14	1
v11528	11.05	1
v11529	41.01	1
v11530	3.86	1
v11531		0
v11975	0.66	1
v11976	36.43	1
v11977	13.91	1
v11978	37.07	1
v11979	100.7	1
v12847	3.33	1
v12848	0.72	1
v12849	1.04	1
v12850	38.53	1
v12851	73.94	1
v13791	67.08	1
v13792	18.73	1
v13793	3.25	1
v13794	27.0	1
v14045	16.0	1
v14046	15.96	1
v14047	39.0	1
v14048	20.83	1
v14049	1.04	1
v14050	1.86	1
v14051		0
v14052	35.68	1
v14053	20.07	1
v14054	24.36	1
v14055	34.69	1
v14056	168.02	1
v14497	28.44	1
v14498	13.87	1
v14499	1.75	1
v14500	1.17	1
v14501	14.7	1
v14502	2.44	1
v14503		0
v15417	2.99	1
v15418	57.13	1
v15419	11.19	1
v15420	0.75	1
v15421	6.29	1
v15822	10.4	1
v15823	18.68	1
v15824	118.94	1
v17371	42.23	1
v17372	38.93	1
v17373	155.84	1
v17855	34.0	1
v17856	49.32	1
v17857	4.89	1
v17858	82.09	1
v17859	177.13	1
v18614	71.92	1
v18615	98.09	1
v18658	3.09	1
v18659	30.73	1
v18660	27.14	1
v18661	18.1	1
v18662	6.7	1
v18663		0
v18696	74.21	1
v18697	1.67	1
v18698	0.75	1
v18699	59.2	1
v18700	18.55	1
v18701	147.29	1
v18773	63.83	1
v18774	136.94	1
v18994	60.73	1
v19292	20.96	1
v19293	8.09	1
v19294	30.69	1
v19295	2.94	1
v19296	30.46	1
v19297	0.44	1
v19298	0.71	1
v19299		0
v19361	44.8	1
v19362	214.06	1
v20280	94.89	1
v20281	59.85	1
v20586	28.92	1
v20587	218.69	1
v20608	73.94	1
v20609	44.04	1
v20700	33.15	1
v20701	0.95	1
v20702	38.03	1
v20814	12.17	1
v20815	8.69	1
v20816	312.4	1
v20826	61.79	1
v20827	1.73	1
v20828	25.24	1
v20829	90.03	1
v20919	78.98	1
v20967	1.01	1
v20968	0.84	1
v20969	105.2	1
v20970	0.93	1
v20971	125.05	1
v21166	14.3	1
v21167	171.0	1
v21343	155.77	1
v22447	0.98	1
v22448	2.97	1
v22449	30.0	1
v22486	16.83	1
v22487	31.96	1
v22488		0
v22519	100.01	1
v22520	37.0	1
v22521	0.68	1
v22522		0
v23106	37.09	1
v23107	49.79	1
v23108	3.12	1
v23109		0
v23446	34.98	1
v23447	101.69	1
v23589	0.94	1
v23590	0.86	1
v23591	25.17	1
v23592		0
v23758	95.26	1
v23759	0.98	1
v23760		0
v23781	70.0	1
v23940	106.05	1
v23941	42.0	1
v23945	59.01	1
v24288	83.12	1
v24289	86.07	1
v24489	0.94	1
v24490	54.66	1
v24675	1.37	1
v24676	18.88	1
v24677	76.64	1
v24761	157.82	1
v24855	0.96	1
v24856	46.85	1
v24857	19.0	1
v24858		0
v25552	3.03	1
v25553	66.75	1
v25566	0.59	1
v25567	1.01	1
v25568		0
v25916	50.68	1
v26031	19.81	1
v26032	45.21	1
v26705	49.04	1
v26706	68.93	1
v26707	168.86	1
v27284	7.09	1
v27285	1.08	1
v27286	26.1	1
v27287		0
v27364	59.12	1
v27365	5.65	1
v27366	32.32	1
v27367		0
v27482	14.97	1
v27483	17.04	1
v27484		0
v27800	31.92	1
v27801	102.76	1
v27802		0
v27822	20.97	1
v27823	28.04	1
v27824	181.98	1
v27831	11.81	1
v27832	14.1	1
v27833	228.96	1
v27850	16.89	1
v27878	112.96	1
v27879	132.13	1
v28185	149.98	1
v28920	62.89	1
v28921		0
v28925	202.15	1
v30132	0.92	1
v30133		0
v30313	2.01	1
v30314		0
v30413	0.77	1
v30414	221.98	1
v30504	1.94	1
v30505	184.16	1
v30856	201.29	1
v31436	2.76	1
v31437		0
v31500	113.19	1
v31501		0
v31853	36.01	1
v31854		0
v31903	72.18	1
v31904		0
v31966	346.19	1
v32106		0
v32229	310.75	1
v32753	3.09	1
v32754		0
v32760	2.03	1
v32761		0
v32795		0
v32820	21.22	1
v32821	91.91	1
v32981	33.96	1
v32982		0
v33051		0
v33065		0
v33079		0
v33495	118.76	1
v33506	71.23	1
v33813	239.07	1
v33868	157.91	1
v34206	52.36	1
v34207	1.97	1
v34208		0
v34315	28.15	1
v34316	40.93	1
v34317		0
v34459		0
v34466	175.07	1
v34685		0
v34913	13.17	1
v34914	31.99	1
v34915		0
v34979	3.11	1
v34980		0
v35486		0
v35556		0
v35588		0
v35611		0
v35652		0
v35749		0
v35753		0
v35900		0
v35915	146.19	1
v35916	2.6	1
v35917		0
v36527		0
v36637		0
v36677	243.81	1
v36688		0
v36742		0
v37074		0
v37139		0
v37434		0
v37439		0
v37557	115.07	1
v37574		0
v37737	165.99	1
v37746		0
v37847	35.11	1
v37848		0
v37931		0
v38149	1.22	1
v38150		0
v38169	153.97	1
v38207		0
v38217		0
v38294	119.3	1
v38370		0
v38884		0
v39225	169.67	1
v39232		0
v39265		0
v39294	221.83	1
v39426		0
v39587	291.88	1
v40007	66.39	1
v40008		0
v40058	176.23	1
v40107		0
v40153		0
v40173		0
v40284		0
v40308		0
v40474		0
v40575	1.14	1
v40576		0
v40609		0
v40698		0
v40710		0
v40932		0
v41029		0
v41035		0
v41248		0
v41258	2.06	1
v41259		0
v41613		0
v41647		0
v41678		0
v41742		0
v41748		0
v41766		0
v41801		0
v41895	4.2	1
v41896		0
v42012		0
v42141		0
v42307		0
v42340		0
v42502		0
v42575	54.19	1
v42656	86.71	1
v42815		0
v42854		0
v42958		0
v43012		0
v43045		0
v43295		0
v43377	12.06	1
v43378	125.99	1
v43657		0
v43791		0
v43939		0
v44070		0
v44150		0
v44586	258.07	1
v44692		0
v44769		0
v44821		0
v44991		0
v45040	0.77	1
v45041		0
v45064	128.02	1
v45065	30.97	1
v45066		0
v45237		0
v45298		0
v45365		0
v45367		0
v45405		0
v45470		0
v45521		0
v45654		0
v45665	175.16	1
v45947		0
v46155		0
v46172		0
v46270		0
v46292		0
v46355		0
v46447	1.16	1
v46448		0
v46500	0.76	1
v46501		0
v46526		0
v46548		0
v46616	93.29	1
v46753		0
v46876		0
v46916		0
v47000		0
v47336		0
v47340		0
v47385		0
v47443		0
v47472		0
v47694		0
v47794		0
v47985		0
v47993		0
v48163		0
v48269	0.97	1
v48270		0
v48451		0
v48452		0
v48575	120.86	1
v48627		0
v48686		0
v49001	158.9	1
v49122		0
v49167		0
v49277		0
v49283		0
v49395		0
v49825		0
v49901		0
v50244		0
v50627		0
v50746		0
v50857		0
v51038		0
v51218		0
v51288	287.73	1
v51337		0
v51417		0
v51528		0
v51571		0
v51682		0
v51818		0
v51821		0
v51976		0
v52147		0
v52372	2.22	1
v52373		0
v52572		0
v52640		0
v52666		0
v52771		0
v52816		0
v52928		0
v52997		0
v53077		0
v53105		0
v53179		0
v53551		0
v53569		0
v53613		0
v53687		0
v53729		0
v53871		0
v53882		0
v53925		0
v53966		0
v54045		0
v54103		0
v54198	111.79	1
v54431		0
v54461	2.16	1
v54462	12.98	1
v54463		0
v54507		0
v54813		0
v54816		0
v54876		0
v54953		0
v55149		0
v55564		0
v55628		0
v55697		0
v55817		0
v55818		0
