visit_id	wifi_id	date	indices
v868	634	17222	266029;266030;266031;266032;266033;266034;266035;266038;266039;266045;267052;267053
v869	634	17240	349505;351718
v870	634	17246	375620;375622;375623;375627;375629;375633;375636
v871	634	17247	376069;376070;376074;376077;376079;376081;376088;376091;378170;378171;378172;378173;378176;378177;378178;378180;379468;379469;379470
v872	634	17269	463485;463486;463487;463492;463507;463516
v873	634	17279	498695;498696
v874	634	17281	503790
v875	634	17337	679341;679342;679344;679346;679354;679355
v876	634	17346	704692
v1484	1222	17217	242958;242959;242961;242962;242963;242967;242969;242973;242975;242976;242977;242978;242988
v1485	1222	17224	278324;278325;278326;278327;278328;278332
v1486	1222	17234	324468;324469;324470;324471;324472;324476;324488;324493;324517;324518;324522;324526;324530;324549;324628;324629;324630;324631;324639;324644;324645
v1487	1222	17272	476929;476930;476932;476934;476935;476937;476970;476976;476977;476978;476980;476981;476982
v1488	1222	17293	542683;542684
v2880	2336	17175	43391;43392;43393;43397
v2881	2336	17176	45186;45187;45188;45189;45190;45191;45192;45193;45196;45206;45207;45216;45226;45263;45278;45279;46048;46049
v2882	2336	17183	82406;82407;82408;82411;82413;82420;82422;82423;82441;82442;82454;82455;82459;82478;82555
v2883	2336	17184	86869;86870;86871;86872;86873;86876;86880;86885;86888;86889;86891;86892;86896;86897;87004;87074;87103;87104;87172;87193;87200;87201
v2884	2336	17185	89213;89214;91439;91440;91441;91442;91443;91444
v2885	2336	17202	170847;170849;170850;170851;170857;170858;170861;170864;170865;170881;170882
v2886	2336	17208	198259;198260;198261;198263;198264;198267;198268;198269;198273;198274;198298;198302;198303;198306;198430;198444;198566;198588;198612;198616;198618
v2887	2336	17217	241244;241246;241251;241254;241257;241292;241319;241361;241408;241414;241418;241469;241486;241501;241508;241638;241644;241652;241664;241669;241673
v2888	2336	17220	259600;259601;259602;259603
v2889	2336	17236	330434;330435;330439;330440;330441;330443;330448;330454;330464;330471;330479;330484;330487;330500;330563
v3843	3295	17203	174094
v3844	3295	17239	344606;344608;344618;344619;344626;344644;344657;344658;344660;344672;344677;344682;344688;344689
v3845	3295	17259	425713;425714
v3846	3295	17274	483774;483776;483780;483785;483788;483789;483791;483801;483809;483810;483811;483812;483813
v3847	3295	17325	637500;637502
v3848	3295	17326	640581;640582;640809;640810;642707;642708
v5192	4769	17233	317604;317605;317606;317607;317608;317609;317669;317670;317679;317680;317684;317685;317686;317687
v5193	4769	17234	321164;321165
v5194	4769	17263	440130
v5195	4769	17286	520284
v5196	4769	17307	579021;579022;579023;579026;579029;579031;579039;579047
v6377	6130	17213	219554;219555;220190;220207
v6378	6130	17226	285531;285532;285536;285537;285538;285539;285544;285545
v6379	6130	17320	623539;623540;623541;623550;623551;623552;623553;623558;623559;623572;623574;623577;623578;623586
v6380	6130	17325	637236;637238
v6381	6130	17334	665612;665613;665627;665628;665635;665640;665645;665657;665660;665684;665724;665727;665728;665744;665837;665839;665915;665930;665932;665933;668243;668244
v6603	6424	17214	224552;224553;224554;224585;224588;224589;224597;224598;224626;224653;224658;224666;224670;224672
v6604	6424	17229	297641;297642;297654;297655;297658;297659;297678;297679;297689;297690;297696;297704
v6605	6424	17270	468713;468714;468861;468862
v7800	7827	17170	19800;19801;19802;19804;19805;19806;19807;19814;19815;19816;19818;19819;19820;19824
v7801	7827	17193	123871
v7802	7827	17286	518672;518678;518679;518680;518683;518684;518686;518693;518694;518707;518724;518726;518751;518781;518792;518793
v7803	7827	17326	640398;640399;640401;640404;640406;640415;640416
v8170	8343	17174	35543;35544;35545
v8171	8343	17185	87878;87879;87889;87890;87892;87896;87899;87901;87902;87912;87915;87916
v8172	8343	17205	182443;182444;182445;182448;182450;182453;182454;182455;182461;182462;182472;182474;182475;182487
v8233	8405	17194	128122;128123
v8234	8405	17207	194888;194889;194890;194891;194893;194894;194895;194911
v8235	8405	17234	324748;324749;324750;324752;324753;324755;324756;324758;324759
v8236	8405	17235	329343;329344;329345;329347;329348;329353;329355;329362;329368;329403
v9243	9832	17186	95773;95774;95775;95777;95778;95779;96131;96132;96133;96134;96135;96136
v9244	9832	17194	127910;127911;127912;127914;127916;127925;127945;127949;127950;127962;127964;127977
v9245	9832	17197	143676;143677;143703;143711;143713;143714;143725;143726;143733;143737;143738;143746;143753;143787;143844
v9246	9832	17206	189095;189097;189123;189124;189132;189134;189137;189141;189144;189145;189146
v9247	9832	17211	211005;211006;211008;211012;211013;211020
v9513	10133	17181	73236;73237;73242;73244;73247;73248;73250
v9514	10133	17289	528498;528499;528500;528501;528502;528507;528511;528513;528523;528554;528555;528558;528559;528574
v9515	10133	17319	619564;619565;619566;619568;619585
v9787	10473	17170	17149;17150;17151;17156;17158;17159;17161;17162
v9788	10473	17221	263428;263429;263430;263433;263436;263439;263456;263461;263518;263519;263521;263522;263528;263535
v9789	10473	17266	453475;453476
v9790	10473	17295	544847;544848;544849;544850;544851;544852;544853;544854;544869;544879;544880;544881;544882;544885;544939;544940;544941;544942;544947;545000;545001;545002;545003;545004;545006;545009;545011
v10776	11736	17202	168786;168787
v10777	11736	17203	174566;174567;174568;174569;174570;174571;174572;174573
v10778	11736	17204	176486;176487;176488;176489;176490;176491;176492;176494;176849;176850
v10779	11736	17205	181351;181352;181353;181354;181355;181362;181363;181364;181365;181366;181367;181368;181369;181370;181572;181801;181802
v10780	11736	17249	386358
v10781	11736	17257	419640;419642;419643;419644;419645;419648;419652;419653;419707;419708;419710;419713;419715;419716
v10782	11736	17270	468758;468759;468763;468764;468766;468767;468770;468771;468772;468773;468777;468782;468783;468784
v10783	11736	17276	489362;489363;489366;489368;489370;489376;489379;489382
v12081	13530	17315	608640;608684
v12225	13748	17269	461661;461663;461664;461666;461667;461670;461671;461672;461676;461677;461678;461680;461682;461684
v12226	13748	17282	506997;506998
v12227	13748	17294	542996;542997
v12605	14419	17198	149448;149449;149459;149880;149881
v12606	14419	17200	158568;158569
v12607	14419	17249	384535;384536
v12608	14419	17269	463681;463682;464754;464755;464764
v12609	14419	17270	465560;465561
v12610	14419	17271	473729;473730
v12611	14419	17294	543466;543467;543468;543469;543470;543471;543472
v12612	14419	17298	552335;552336;552337;552338;552339;552341;552346
v12910	14822	17179	59545;59546;59549;59550;59553;59560;59576;59579;59584;59585;59586;59595;59600;59602
v12911	14822	17189	110864;110865;110866;110867;110868;110869;110870;110885
v12912	14822	17241	353690;353691;353692;353694;353695;353699;353702;353713;357254;357267
v12913	14822	17247	378517;378518;378535;378539;378541;378542;378544;378545;378546
v12914	14822	17277	490433;490434;490435;490447;490448;490452
v13466	15691	17187	101945;101946;101947;101948;101952;101955;101964;101966;101976;101985;101991;102040;102043;102073
v13467	15691	17202	170622;170623;170625;170626;170627;170628;170637;170638;170639;170642;170659;170661;170665;170666
v13502	15723	17175	42086;42087;42090;42091;42093;42115;42116;42165;42168;42169;42170;42177;42184;42185;42292;42293;42294;42317;42368
v13503	15723	17208	199096;199097;199098;199102;199151;199153;199157;199181;199188;199238;199240;199241;199243;199247;199287;199289;199290
v13504	15723	17240	352447;352448;352451;352452;352454;352456;352457;352465;352470;352471;352472;352473;352476;352478
v13505	15723	17252	397838;397839;397842
v13536	15786	17229	300752;300753;300754;300755;300756;300758;300759;300878;300879;301184;301186;301187;301188;301189
v14885	18076	17220	255119;255120;255126;255128;255130;255131;255140;255153
v14928	18148	17213	218880;218881;218882;218885;218886;218900;218901;218902;218903;218905;218910;218911;218925;218934;218997;218998;218999
v15547	19071	17181	68946;68947;69353;69385;69386;69391;69399;69405;69406;69408;69410;69419;69424;69454;69455;69456
v15548	19071	17215	229833;229834;229836;229837;229838
v15549	19071	17229	298318
v15550	19071	17252	398722;398723
v15551	19071	17338	679675;679676;679677;679684;679685;679686;679695;679696
v15624	19200	17215	229072;229074;229075;229095;229096;229097;229100;229102;229103;229104;229105;229106;229107
v15625	19200	17232	312476
v15626	19200	17255	410254;410255;410256;410262;410268;410297;410302;410304;410305;410307;410313;410314
v15651	19294	17186	92890;92891;92892;92893;92894;92896;92904
v15700	19385	17205	186242
v15701	19385	17267	454652;454653
v15702	19385	17314	602619;602620;602636
v16077	19977	17185	88860;88862;88863;88869
v16078	19977	17203	173778;173779
v16079	19977	17259	427007;427008;427009;427017;427022;427023;427026;427038;427068;427069;427102;427110;427111;427130;427131
v16080	19977	17266	451652;451653;451654;451655;451657;451659
v16607	20920	17268	457954
v16608	20920	17293	541916;541917
v16783	21218	17183	82087;82088
v16784	21218	17259	428688;428689
v16785	21218	17312	595152;595153;595154;595155;595156;595157;595158;595159;595161;595194;595195;595198;595199;595200;595232;595233;595236;595286;595287;595288;595291;595335
v16786	21218	17329	653182;653183;653184;653185;653186;653188;653190;653191;653192;653194;653200;653201;653202;653203
v16787	21218	17330	653491;653492;653493;653494;653497;653498;653499;653508;653519;653520;653521;653522;653524
v16789	21224	17252	397469;397471;397472;397474;397478;397482;397487;397488;397493;397494;397499;397500;397501;397511
v16790	21224	17288	524203;524204
v16791	21224	17291	537320
v16792	21224	17327	644873;644874
v16793	21224	17329	652724;652725
v17622	22875	17252	396942;396943
v17623	22875	17256	412345;412346;412347;412349;412350;412351;412352;412354;412361
v17624	22875	17289	528979;528980
v18060	23658	17217	242024;242025;242026;242027;242028;242029;242036;242037
v18061	23658	17325	637391;637392;637396;637397;637399;637400;637403;637413;637450;637451;637452;637454;637456;637457
v18615	24820	17198	150286;150287
v18616	24820	17207	194979;194980;195010
v18617	24820	17221	259994
v18618	24820	17305	572916;572917;572918;572919;572933;572943;572960;572961;572974;572975;572977;572978;572979;572987
v18780	25241	17233	319013;319014;319015;319022
v18781	25241	17278	496403;496404
v18841	25392	17196	140920;140921;140953;140954;140959;140960;140975;140976;140981;140982;140999;141003
v18842	25392	17202	170197;170198
v18843	25392	17208	198083;198084
v18844	25392	17209	201115
v18845	25392	17225	281914;281915;281921;281926;281927;281928;281929;281937;281967;281969;282025;282026;282064;282079;282082;282085;282088
v18846	25392	17250	387203;387204;387215;387226;387228;387229;387232;387234;387237;387238;387244;387245;387246
v19158	26032	17180	63458;63459;63460;63461;63462;63463;63465;63469;63476;63477;63485;63490;63491;63493
v19159	26032	17190	114532;114533;114620;114621;114635;114645;114651;114657;114662;114664;114668;114669;114701;114707;114735;114738;114793;114796
v19160	26032	17195	131587;131590
v19161	26032	17215	229035;229039;229040;229043;229045;229052;229055;229058;229061;229062;229068;229084;229088
v19162	26032	17338	680789;680790
v19656	27021	17179	60509;60510
v19657	27021	17270	465791;465792;465793;465794;465795;465799;465800;465801
v19658	27021	17334	666715;666716;666718;666742
v19672	27045	17308	584842;584843;584852;584853;584854;584855;584859;584860;584864;584865;584870;584896;585029;585030;585031;585032;585033;585034;585037;585038
v19673	27045	17341	688642;688644;690455;690456;690457;690467;690492;690493;690500;690535;690616;690617;690620;690621;690679;690680;690688;690692
v21391	31020	17187	101228;101229;101230;101232;101234;101235;101252;101258;101275;101277;101284;101285;101288;101293;101430
v21392	31020	17325	639033;639039;639040
v21393	31020	17328	646606;646609;646610;646613;646615;646616;646623;646630;646632;646636;646661
v21904	32166	17174	34921;34922
v21905	32166	17240	352788;352789;352790;352791;352792;352806;352808;352809;352810;352813;352814;352815
v21906	32175	17183	81557;81558;81561;81562;81563;81564;81567;81570;81574;81575;81590;81592;81594
v21907	32175	17189	109721;109722;109723;109724;109725;109726;109732;109735;109762
v22228	32951	17170	16484;16485
v22229	32951	17178	55970;55971;55972;55973;55974;55975;55989;55990;56000;56001;56002;56003;56011;56013
v22230	32951	17181	70639;70640;70641;70642;70643;70645;70647;70655;70659;70660;70662;70663;70664;70665
v22460	33678	17167	902;903;904;905;910;914;915;934;939;941;962;964;990;996
v22461	33678	17181	72073;72074;72075;72083;72085;72091;72102;72107;72109;72111;72117
v22462	33678	17305	574566
v22463	33678	17306	575154
v22464	33678	17321	626514;626515
v22465	33678	17329	650366;650367;650368;650370;650371
v22639	34175	17182	75973;75974
v22640	34175	17222	267514
v22641	34175	17270	466539
v23068	35250	17213	222138;222139;222140;222146;222152;222154;222157;222159
v23278	35880	17176	45311;45312;45314;45315;45316;45319
v23434	36337	17246	375265;375266;375267;375311;375312;375314;375349;375353;375354;375357;375362
v23435	36337	17248	380121;380144;380145;380146;380148;380149;380170;380178;380179;380207;380211;380246;380247;380248;380249;380256;380257;380261;382377;382378;382379;382380;382381;382382;382384;382387;382393;382394;382395;382402;382407;382410;382461;382462;382463;382484;382485
v23489	36536	17181	69675
v23490	36536	17236	333032;333033;333043;333046;333047;333064;333072;333084;333155;333161;333162;333164
v23517	36630	17175	44265;44266;44276;44278;44280;44282
v23518	36630	17252	400064;400065;400066;400092;400093;400132;400151;400154;400155
v23519	36630	17337	678909;678910;678911
v23520	36630	17339	682131;682132
v24065	38297	17177	53419;53421;53422;53423;53424;53426;53428;53463;53612;53613;53614;53616;53619;53620
v24066	38297	17178	57825;57826;57827;57831;57833;57835;57840;57953;57955;57956;57957;57961;57967;57984;57985
v24067	38297	17214	226982;226984;226985;226986;227022;227064;227101
v24068	38297	17243	365066;365067;365068;365069;365074;365089;365123;365124
v24421	39278	17169	14222;14223
v24422	39278	17214	226592;226593;226594;226595;226596;226598;226603;226608;226617
v24423	39278	17241	354362;354363;354911;354912;354913;354920;354921;354922;354923;354925;354926;354932;354933;354935;354941;354954
v24424	39278	17271	471163;471585;471586
v24545	39652	17185	88211;88212
v24546	39652	17202	166766
v24547	39652	17264	445610;445611
v24548	39652	17333	662591;662592
v24679	40120	17314	605544;605564
v24680	40120	17317	613600;613612;613619;613625;613647;613648;613656;613661;613676;613677;613682;613683;613686;613688
v24813	40632	17312	596775;596776;596777;596778;596779;596780;596783;596785;597458;597459;597460;597461
v25216	41893	17181	69135;69137;69138;69139;69140;69141;69142;69145;69150;69151;69157
v25217	41893	17185	88027;88028;88039;88044;88047;88052;88065;88069;88084;88092
v25218	41893	17191	119137;119138;119140;119141;119154;119155;119167;119169;119202;119203;119208;119210;119213;119241
v25519	42998	17315	609711;609712;609713;609714
v25660	43488	17174	37776
v25661	43488	17312	596411;596412;596413
v25795	43937	17200	158761;158762;158763;158765;158774;158789;158792;158793
v25796	43937	17298	552583;552584;552585;552586
v25846	44125	17184	86303;86304;86305;86312;86325;86355
v25847	44125	17186	94567;94568;94569;94570;94571;94575;94582;94591;94631;94632;94634;94635;94667;94668;94746;94748
v25848	44125	17252	399203;399204;399205;399207;399208;399209
v26316	45866	17175	41326;41327
v26317	45866	17243	364139;364140;364141;364146;364147;364148;364149
v26318	45866	17244	369106;369107;369181
v26319	45866	17251	396491;396492;396493;396494;396495;396496;396497;396498;396499
v26320	45866	17252	398687;398688;398690
v26549	46762	17189	109378;109379;109380;109382;109383;109385;109499;109541;109542;109543;109545;109547;109567
v26550	46762	17190	113458;113459;113460;113461;113578;113641;113677;113678;113682;113683;113684
v26551	46762	17196	138080;138081;138082;138147;138148;138149;138151;138152;138313;138314;138315;138369
v26561	46831	17313	601187;601189;601196;601197;601205
v26562	46831	17316	610637;610638;610639;610640;610642;610647;610649;610659;610664;610668;610670;610672;610741;610742;610743;610748;610753;610784;610789;611133;611134;611135;611138;611141
v26563	46831	17329	652015;652029;652030;652031;652032;652035;652038
v27073	48959	17184	86253;86254
v27074	48959	17214	227893;227894;227915;227927;227937
v27075	48959	17260	430750;430755
v27119	49156	17172	27886;27887;27910;27912
v27120	49156	17177	52871;52872;52874;52879;52880;52884;52895;52897;52899
v27121	49156	17232	312330;312331;312332;312333;312334;312340;312344;312346;312350;312351;312352;312353;312354;312355;313266;313267
v27701	51581	17333	665124;665125;665145;665156;665157;665159;665160;665162;665165;665196;665200;665201
v27757	51832	17247	377288;377289;378571;378572;378573;378574;378575;378576;378577;378581;378582;378583;378585;378588
v27758	51832	17251	393074
v27909	52380	17267	456748;456749;456750
v27910	52380	17274	483922;483923;483925;483956;483959;483960;483964;483967;483982;483983;484027;484041;484087;484089;484125;484134;484142;484144
v28015	52758	17176	46178;46179;46180
v28016	52758	17262	437242;437243;437244;437245;437246
v28017	52758	17306	575949
v28563	55113	17194	128710;128711
v28564	55113	17225	281442
v28565	55113	17240	351345;351346;351350;351352;351353;351354;351361;351365;351529
v28888	56634	17283	509817;509818;509819;509826;509827;509828;509829;509832;509843;509844;509854;510462;510464;510465;510466;510469;510471;510477
v28889	56634	17284	511521;511522;511523;511533;511534;511535;511537;511538
v28932	56874	17203	172636;172637;172639;172640;172642;172644;172646;172669;172670;172682;172683;172689;172690;172763;172764;172765;172766;172767;175787;175788;175792;175796;175797;175801;175813;175843
v29491	59507	17214	228250;228251
v29797	61021	17315	609570;609571;609572;609581;609585;609586;609614;609650;609651;609654;609687;609691;609706;609904;609905;609906;609907;609915;609921;609924
v29798	61021	17317	615915;615936;615937
v30132	62739	17186	96285
v30133	62739	17241	354494;354495;354497;354498;354499;354500;354502;354503;354509;354510;354511;354512;354513;354514
v30293	63518	17313	599264;599265
v30294	63518	17317	613644;613645;613646;613650;613654;613658;613662;613663;613679;613680;613684;613685;613687
v30356	63878	17295	545965
v30357	63878	17335	672333;672334;672335;672336;672337;672339;672356;672361;672369;672370;672371;672372;672374
v30832	66375	17320	623159;623160;623161;623165;623194;623195;623197;623244;623245;623274;623275
v30833	66375	17326	640144;640145;640159;640160;640177;640178;640183;640184;640214;640217;640950;640951;640953
v30895	66673	17221	264215;264217;264218;264220;264224;264225;264226;264314
v30933	66947	17170	16415;16416;16417;16418;16427;16430;16458;16481;16486;16489;16490
v30934	66947	17171	22841;22842;22847;22848;22864;22865;22866
v30935	66947	17172	24764;24765;24766;24767;24799;24800;24801
v31102	67966	17227	290378;290379;290380;290381;290382;290385;290390;290409;290418;290419;290420;290422;290423;290425;290956;290957;290958;290959;290960;290961;290975;290993
v31251	68837	17171	22834;22835;22836;22837;22845;22846;22855
v31252	68837	17337	678039;678040;678064;678067;678070;678071;678072;678074;678075;678076;678077;678078
v31370	69622	17209	204736;204737;204738;204739;204740;204742;204748;204764;204765;204766;204770;204774
v31390	69686	17234	322944;322945;322946;322958;322959;322960;322982;323007;323008
v31391	69686	17294	543729;543730;543731;543732;543733;543737;543738;543739
v31393	69707	17168	7506;7507;7508;7509;7510;7511;7513;7515;7525
v31446	70018	17290	531569;531571
v31477	70244	17228	292257;292258;292270;292281;292327;292328;292330;292339;292415;292417;292418;292448
v31478	70244	17229	300127;300128;300129;300167;300173
v31479	70244	17230	304254;304255;304256;304274
v31555	70679	17268	458022;458023;458024;458026;458028;458032;458036;458042;458061;458062;458071;458072;460451;460452;460454
v31556	70679	17272	475583;475584;475585;475586;475594;475595;475599
v31798	72119	17219	250641;250642;250654;250664;250665;250675;250685;250698;250699;250711;250712;250713;250725;250732
v31799	72119	17221	262489;262490;262491;262492;262493;262505;262506
