index	wifi_id	ts	area	dwell_time
30	101946	1483235387	out	2224
128	42998	1483238216	out	655
273	32175	1483240125	out	35
668	32175	1483242951	out	831
885	33678	1483245131	out	1299
902	33678	1483245303	1f	1039
903	33678	1483245303	in	1039
904	33678	1483245304	1f-left-3	978
905	33678	1483245312	1f-right-3	967
910	33678	1483245400	2f	885
914	33678	1483245429	1f-right-2	854
915	33678	1483245436	1f-left-2	905
934	33678	1483245554	2f-left-1	437
939	33678	1483245567	1f-right-1	600
941	33678	1483245576	1f-left-1	505
962	33678	1483245700	2f-stair	318
964	33678	1483245710	2f-right-1	250
990	33678	1483245816	2f-right-2	124
996	33678	1483245820	2f-left-2	125
2760	24820	1483256580	out	39
2836	151861	1483257191	out	50
2862	24820	1483257404	out	85
3261	24820	1483260607	out	48
3365	35880	1483261416	out	59
3372	307676	1483261514	out	665
3373	307676	1483261524	in	517
3377	307676	1483261569	2f-stair	336
3378	307676	1483261569	2f	336
3430	307676	1483261934	1f-left-1	51
3431	307676	1483261934	1f	107
3433	307676	1483261969	1f-right-2	16
3441	307676	1483261985	1f-left-2	40
3442	307676	1483261985	1f-left-3	57
3447	307676	1483262002	1f-right-3	40
3552	34175	1483262533	out	137
3830	13748	1483263788	out	327
4174	13748	1483265981	out	32
4220	308179	1483266308	out	1409
4231	308179	1483266349	in	971
4232	308179	1483266349	1f	971
4233	308179	1483266355	1f-left-2	883
4234	308179	1483266355	1f-right-2	942
4291	34175	1483266708	out	764
4305	13748	1483266783	out	1903
4317	308179	1483266870	1f-left-1	427
4328	308179	1483266919	1f-right-1	374
4334	308179	1483267032	2f	9
4340	36630	1483267063	out	315
4347	308179	1483267104	1f-left-3	217
4348	308179	1483267110	1f-right-3	208
4629	34175	1483268643	out	31
5104	34175	1483271201	out	62
6110	268	1483313291	out	120
6899	204464	1483328989	out	8
7192	268	1483332903	out	359
7212	69707	1483333061	out	44
7326	32175	1483334505	out	78
7501	69707	1483335948	out	240
7506	69707	1483335979	in	184
7507	69707	1483335979	2f-left-1	143
7508	69707	1483335979	2f	143
7509	69707	1483335979	1f	184
7510	69707	1483335984	1f-right-3	180
7511	69707	1483335989	1f-left-3	173
7513	69707	1483336009	1f-right-2	154
7515	69707	1483336093	2f-right-1	29
7525	69707	1483336158	1f-left-2	5
7761	268	1483338379	out	2218
7869	69707	1483339447	out	12
8289	18076	1483343320	out	62
8351	32175	1483343968	out	1669
8537	236813	1483345648	out	119
8547	236813	1483345712	1f	31
8548	236813	1483345712	in	31
8549	236813	1483345712	1f-right-2	11
8550	236813	1483345713	1f-left-2	30
8552	236813	1483345725	1f-left-1	9
8553	236813	1483345727	1f-right-1	2
8840	268	1483348707	out	121
9896	33240	1483357227	out	73
11914	21224	1483414767	out	75
11993	268	1483415686	out	244
12075	268	1483416736	out	212
12109	19071	1483417172	out	131
12411	21224	1483419915	out	363
12475	19071	1483420745	out	1184
12513	69707	1483421136	out	27
12514	21224	1483421142	out	146
12836	227987	1483424190	out	7
12927	268	1483424809	out	75
13062	21224	1483425933	out	937
13459	19071	1483429913	out	82
13700	39278	1483432822	out	1593
13747	26032	1483433692	out	1219
13827	131533	1483434937	out	255
14221	39278	1483438441	out	29
14222	39278	1483438455	1f	4
14223	39278	1483438455	in	4
14748	204464	1483443264	out	676
14785	204464	1483443600	in	310
14786	204464	1483443600	1f	310
14802	204464	1483443661	1f-left-2	245
14804	204464	1483443675	1f-left-1	184
14806	204464	1483443677	1f-right-2	185
14813	204464	1483443704	1f-right-1	153
14919	19294	1483444456	out	12
14989	204464	1483444943	out	104
14994	204464	1483444966	in	44
14995	204464	1483444966	1f	44
14996	204464	1483444970	1f-right-3	29
14997	204464	1483444970	1f-left-3	17
15226	19294	1483447017	out	174
15242	268	1483447284	out	120
15420	131533	1483448910	out	60
15654	268	1483451658	out	485
15736	2336	1483490007	out	86
16242	32951	1483499773	out	3904
16408	66947	1483502180	out	1173
16415	66947	1483502217	1f	368
16416	66947	1483502217	in	987
16417	66947	1483502219	1f-right-3	165
16418	66947	1483502221	1f-left-3	203
16427	66947	1483502263	1f-left-2	151
16430	66947	1483502277	1f-right-2	65
16458	66947	1483502540	1f-right-1	45
16481	66947	1483502909	2f	236
16484	32951	1483502977	in	664
