index	wifi_id	ts	area	dwell_time
21	96798	1483198257	out	42
46	30365	1483236134	out	50
696	224650	1483242935	out	23
978	30365	1483245651	out	158
1172	254943	1483246775	out	2614
1179	254943	1483246808	in	1384
1180	254943	1483246808	2f	647
1182	254943	1483246833	1f	1360
1223	254943	1483247128	1f-left-2	254
1245	254943	1483247327	1f-right-3	28
1246	254943	1483247328	1f-left-3	145
1248	254943	1483247340	1f-right-2	31
1360	49188	1483248012	out	62
1523	254943	1483249130	1f	218
1524	254943	1483249130	in	218
1742	96798	1483250446	out	2018
1908	96798	1483251441	in	455
1909	96798	1483251441	1f	450
1914	96798	1483251475	1f-left-3	49
1916	96798	1483251482	1f-right-3	401
1918	96798	1483251484	1f-left-2	376
1924	96798	1483251510	1f-right-2	345
1928	96798	1483251527	1f-left-1	317
1929	96798	1483251528	1f-right-1	315
1936	96798	1483251567	2f	327
1939	96798	1483251579	2f-stair	230
1942	96798	1483251602	2f-left-1	286
1948	96798	1483251605	2f-right-1	59
1952	96798	1483251626	2f-left-2	268
2258	71302	1483253068	out	521
2762	71302	1483256637	out	87
3547	13326	1483261715	out	615
3549	13326	1483261740	1f	558
3550	13326	1483261740	in	558
3551	13326	1483261744	1f-right-3	553
3552	13326	1483261747	1f-left-3	541
3553	13326	1483261750	1f-right-2	530
3555	13326	1483261772	1f-left-2	514
3558	13326	1483261827	1f-right-1	450
3604	13326	1483262049	1f-left-1	167
3606	13326	1483262076	2f	222
3607	13326	1483262076	2f-right-2	7
3701	262507	1483262711	out	2903
3811	262507	1483263318	in	382
3812	262507	1483263318	1f	382
3825	262507	1483263411	1f-right-1	4
3828	262507	1483263422	1f-right-2	264
3836	262507	1483263449	1f-right-3	191
3886	262507	1483263677	1f-left-2	22
4350	262507	1483266546	out	628
4619	96798	1483268072	out	311
4636	125697	1483268158	out	22
5127	286419	1483270888	out	171
5542	213132	1483272891	out	5
5987	40672	1483275744	out	86
5989	40672	1483275773	1f	15
5990	40672	1483275773	in	15
6194	13326	1483318861	out	1030
6198	13326	1483318990	in	281
6199	13326	1483318990	1f	281
6200	13326	1483318996	1f-left-3	275
6201	13326	1483318996	1f-right-3	130
6203	13326	1483319011	1f-left-2	256
6205	13326	1483319017	1f-right-2	26
6213	13326	1483319119	1f-left-1	43
6539	71302	1483323196	out	200
6774	125927	1483326391	out	13
6846	96798	1483327651	out	63
7298	22951	1483332592	out	16
8392	49461	1483342476	out	4079
8396	49461	1483342496	1f	4022
8397	49461	1483342496	in	4022
8441	49461	1483343050	1f-right-3	668
8443	49461	1483343056	1f-left-3	691
8446	49461	1483343065	1f-left-2	729
8455	49461	1483343118	1f-right-2	3382
8459	49461	1483343134	1f-right-1	662
8468	49461	1483343169	1f-left-1	1637
8481	49461	1483343360	2f	2173
8493	49461	1483343476	2f-left-1	2044
8496	49461	1483343487	2f-left-2	1698
8533	49461	1483343843	2f-right-1	1689
8547	49461	1483343972	2f-right-2	1304
8599	49461	1483344652	1f-right-3	1858
8723	49461	1483345564	1f-right-1	929
8724	49461	1483345567	1f-left-1	935
8729	49461	1483345572	1f-left-2	935
8730	49461	1483345583	1f-left-3	927
9001	193816	1483348050	out	70
9450	125697	1483352625	out	1145
9455	125697	1483352649	1f-right-2	692
9456	125697	1483352649	in	734
9457	125697	1483352649	1f	734
9461	125697	1483352732	2f-right-1	390
9462	125697	1483352732	2f	390
9463	125697	1483352734	2f-left-1	384
9466	125697	1483352738	2f-left-2	354
9467	125697	1483352741	2f-right-2	352
9516	125697	1483353189	1f-left-2	183
9517	125697	1483353190	1f-right-1	116
9519	125697	1483353206	1f-left-1	116
9543	125697	1483353373	1f-right-3	10
9673	28811	1483354439	out	64
9883	125697	1483355814	out	55
10093	193816	1483357499	out	2362
10103	286419	1483357538	1f	585
10104	286419	1483357538	out	615
10105	286419	1483357538	in	585
10107	286419	1483357539	1f-right-1	302
10109	286419	1483357542	1f-left-1	183
10110	286419	1483357543	1f-right-2	580
10113	286419	1483357548	1f-left-2	297
10121	193816	1483357588	1f	90
10122	193816	1483357588	in	2272
10128	286419	1483357616	1f-left-3	229
10141	28811	1483357704	out	110
10148	286419	1483357801	1f-right-3	17
10186	193816	1483358330	2f-left-1	366
10187	193816	1483358330	2f	436
10188	193816	1483358342	2f-right-1	417
10193	125697	1483358375	out	14
10195	193816	1483358396	2f-left-2	223
10196	193816	1483358399	2f-right-2	208
10228	40672	1483358559	out	3113
10242	40672	1483358613	1f	3035
10243	40672	1483358613	in	3035
10244	40672	1483358613	1f-right-3	3035
10254	40672	1483358735	2f-left-1	622
10255	40672	1483358735	2f	2342
10274	40672	1483358869	1f-left-3	2080
10275	40672	1483358876	1f-left-2	2061
10281	193816	1483358903	1f	958
10284	40672	1483358905	1f-right-2	2043
10285	40672	1483358907	1f-left-1	2014
10286	193816	1483358913	1f-right-1	85
10288	193816	1483358923	1f-left-1	79
10298	40672	1483358983	1f-right-1	1939
10305	193816	1483359020	1f-left-2	601
10312	40672	1483359129	2f-right-1	232
10314	40672	1483359131	2f-right-2	184
10317	40672	1483359140	2f-left-2	1228
10325	125697	1483359322	out	30
10398	193816	1483359855	1f-left-3	5
10518	40672	1483360767	2f-right-2	310
10569	40672	1483361026	2f-left-1	2
11098	22951	1483403756	out	76
11383	40672	1483409059	out	15
11715	288090	1483413184	out	274
11722	288090	1483413210	in	249
11723	288090	1483413210	1f	105
11731	288090	1483413313	1f-right-2	2
11733	288090	1483413333	2f	125
11734	288090	1483413338	2f-stair	116
11739	288090	1483413358	2f-right-1	100
11740	288090	1483413360	2f-left-1	93
11741	288090	1483413364	2f-right-2	80
11743	288090	1483413393	2f-left-2	50
11847	3480	1483414672	out	247
12047	3480	1483416725	out	2532
12051	3480	1483416753	in	2465
12052	3480	1483416753	1f	1028
12054	3480	1483416758	1f-left-3	999
12056	3480	1483416758	1f-right-2	1007
12058	3480	1483416760	1f-left-2	1006
12063	3480	1483416767	1f-right-1	1008
12065	3480	1483416776	1f-right-3	988
12068	3480	1483416804	1f-left-1	972
12096	3480	1483417192	2f-left-1	1783
12097	3480	1483417192	2f	1791
12116	3480	1483417794	2f-stair	1189
12119	3480	1483417797	2f-right-1	1179
12121	3480	1483417817	2f-right-2	1140
12125	3480	1483417825	2f-left-2	1066
12180	3480	1483418625	1f-left-3	593
12181	3480	1483418625	1f	593
12196	3480	1483419009	1f-left-1	109
12197	3480	1483419011	1f-right-2	194
12200	3480	1483419018	1f-right-1	151
12202	3480	1483419028	1f-left-2	174
12206	3480	1483419037	1f-right-3	176
12834	4746	1483423444	out	19
12947	4746	1483424268	out	46
13000	4338	1483424643	out	64
13476	6732	1483429078	out	236
13600	33296	1483430540	out	1074
13638	33296	1483430791	in	804
13639	33296	1483430791	1f	804
13640	33296	1483430800	1f-left-3	358
13641	33296	1483430802	1f-left-2	352
13643	33296	1483430815	1f-right-2	324
13644	33296	1483430829	1f-left-1	297
13645	33296	1483430835	1f-right-3	325
13662	33296	1483430922	1f-right-1	205
13666	33296	1483430952	2f-stair	153
13667	33296	1483430952	2f	153
13668	33296	1483430969	2f-left-1	78
13669	33296	1483430971	2f-right-2	42
13670	33296	1483430972	2f-left-2	69
13671	33296	1483430974	2f-right-1	72
14256	22951	1483435903	out	96
14409	40672	1483437063	out	68
16149	22951	1483491061	out	726
16233	22951	1483492665	out	915
16262	22951	1483493244	in	262
16263	22951	1483493246	1f	258
16264	22951	1483493254	1f-right-3	240
16265	22951	1483493265	1f-left-3	233
16266	22951	1483493265	2f	88
16267	22951	1483493272	1f-left-2	226
16268	22951	1483493275	1f-right-2	211
16269	22951	1483493278	1f-right-1	132
16270	22951	1483493347	1f-left-1	70
16457	22951	1483497180	out	11
16526	262507	1483497581	out	21
16641	125927	1483498848	out	64
16659	3480	1483499224	out	7
16775	3480	1483501180	out	268
16778	3480	1483501204	in	244
16779	3480	1483501215	1f	233
16780	3480	1483501217	1f-right-3	207
16781	3480	1483501218	1f-left-3	203
16787	3480	1483501231	1f-left-2	188
16788	3480	1483501236	1f-right-2	179
16791	3480	1483501342	1f-left-1	49
16792	3480	1483501366	1f-right-1	43
16887	3480	1483502321	out	461
16900	3480	1483502575	1f	191
16901	3480	1483502575	in	191
16902	3480	1483502575	1f-right-3	187
16907	3480	1483502598	1f-left-3	168
16909	3480	1483502600	1f-left-2	160
16913	3480	1483502605	1f-right-2	151
16914	3480	1483502626	1f-right-1	125
16916	3480	1483502631	1f-left-1	79
17381	122441	1483507156	out	90
17627	122441	1483510582	out	1810
17629	122441	1483510598	in	1786
17632	122441	1483510606	1f	338
17633	122441	1483510612	1f-right-3	7
17634	122441	1483510617	1f-left-2	6
17635	122441	1483510619	1f-right-2	296
17694	122441	1483511222	2f	1026
17699	122441	1483511305	2f-left-1	902
17701	122441	1483511340	2f-right-1	608
17714	122441	1483511549	2f-stair	699
17755	122441	1483511948	2f-right-2	207
17757	122441	1483511972	2f-left-2	221
17770	122441	1483512281	1f-left-1	36
17771	122441	1483512281	1f	85
17772	122441	1483512281	1f-right-1	27
17774	122441	1483512295	1f-right-2	70
18507	24625	1483520444	out	30
18814	49461	1483523361	out	198
19025	262507	1483525510	out	188
19199	262507	1483527114	out	17
20712	3480	1483583565	out	1389
20725	3480	1483584246	in	682
20726	3480	1483584246	1f	682
20730	3480	1483584250	1f-left-3	667
20731	3480	1483584250	1f-right-2	665
20732	3480	1483584252	1f-left-2	668
20733	3480	1483584253	1f-right-3	673
20739	3480	1483584299	1f-right-1	585
20741	3480	1483584304	1f-left-1	604
20754	3480	1483584421	2f	399
20760	3480	1483584520	2f-stair	288
20761	3480	1483584525	2f-left-1	295
20763	3480	1483584531	2f-left-2	153
20771	3480	1483584677	2f-right-2	90
